dataset,optimiser,seed,train_rmse,test_rmse
baseball,sgd,3,867.65869140625,781.6139526367188
baseball,sgd,4,912.8277587890625,862.01123046875
baseball,sgd,5,850.0396728515625,786.8658447265625
baseball,sgd,6,844.674072265625,777.5990600585938
baseball,sgd,7,866.8970947265625,778.9459228515625
baseball,sgd,8,829.84375,783.9429321289062
baseball,sgd,9,844.3765869140625,774.2360229492188
baseball,rmsprop,0,901.3533325195312,810.2927856445312
baseball,rmsprop,1,887.539794921875,797.2037353515625
baseball,rmsprop,2,874.6036376953125,799.252685546875
baseball,rmsprop,3,895.4068603515625,796.9727783203125
baseball,rmsprop,4,957.673095703125,871.7372436523438
baseball,rmsprop,5,887.5652465820312,811.361328125
baseball,rmsprop,6,891.59326171875,810.355712890625
baseball,rmsprop,7,900.429931640625,798.9417724609375
baseball,rmsprop,8,879.332275390625,811.2763061523438
baseball,rmsprop,9,883.5615234375,793.0693969726562
baseball,pso,0,864.9650268554688,780.0496826171875
baseball,pso,1,825.9240112304688,790.889404296875
baseball,pso,2,827.5828857421875,784.1776123046875
baseball,pso,3,855.5391235351562,776.94384765625
baseball,pso,4,861.6953125,834.5631103515625
baseball,pso,5,826.0907592773438,786.2547607421875
